p (mbar),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),T (degC)
974.41,85.7,10.97,9.4,1.57,6.02,9.65,1201.58,0.52,1.5,137.9,8.31
975.29,77.5,12.45,9.65,2.8,6.18,9.89,1194.57,1.64,4.13,217.9,10.19
975.96,68.61,14.07,9.65,4.42,6.18,9.89,1187.68,2.96,6.88,231.2,12.03
976.83,63.09,15.74,9.93,5.81,6.35,10.17,1181.53,3.61,6.75,229.3,13.74
977.43,58.74,17.05,10.01,7.03,6.4,10.24,1177.18,3.87,5.88,236.7,14.97
978.26,61.55,16.74,10.3,6.44,6.58,10.53,1179.19,2.16,4,257.1,14.69
977.84,58.1,18.54,10.77,7.77,6.88,11.01,1172,1.79,3.5,214.6,16.28
977.61,57.3,19.14,10.97,8.17,7.01,11.22,1169.61,1.3,1.88,12.62,16.78
978.46,88.2,15.9,14.03,1.88,8.97,14.34,1180.97,0.89,1.75,198.6,13.9
978.77,94.7,14.36,13.6,0.76,8.69,13.9,1188,0.97,1.5,216.6,12.34
979.54,96.3,13.4,12.9,0.5,8.23,13.17,1193.65,1.45,2.25,202.1,11.29
980.65,86.9,13.38,11.63,1.75,7.41,11.86,1195.68,2.69,3.63,218.9,11.27
981.31,90.9,12.5,11.36,1.14,7.23,11.58,1200.92,2.2,3.13,204.4,10.25
981.68,88.2,12.54,11.06,1.48,7.04,11.27,1201.3,1.73,2.5,210,10.3
981.92,89.9,11.95,10.74,1.21,6.83,10.94,1204.81,2.49,3.25,229,9.58
982.38,77.8,14.1,10.97,3.13,6.97,11.17,1194.79,4.44,6.25,208,12.06
983.19,69.73,15.22,10.61,4.61,6.74,10.79,1191.1,4.66,8.5,216.4,13.22
983.25,54.35,17.38,9.44,7.93,6,9.61,1183.24,5.11,7.25,216.8,15.27
983.2,44.54,18.97,8.45,10.52,5.36,8.59,1178.04,7.41,12.13,212.4,16.64
983.32,45.58,19.8,9.03,10.78,5.73,9.18,1175.16,5.93,9.25,210,17.32
983.09,42.61,21.56,9.19,12.37,5.83,9.34,1169.38,6.05,8.38,199.8,18.67
983.02,43.6,21.47,9.36,12.11,5.94,9.52,1169.5,3.34,5.88,220.2,18.6
983.06,48.78,20.75,10.12,10.63,6.43,10.3,1171.37,1.94,3.63,236,18.06
983.45,57.62,19.19,11.06,8.13,7.02,11.24,1176.42,1.74,2.25,11.66,16.82
983.68,64.76,17.23,11.16,6.07,7.09,11.35,1183.51,1.7,2.25,355.4,15.14
983.47,75.8,15.13,11.47,3.66,7.28,11.66,1191.42,0.01,0.13,34.93,13.13
983.09,76.9,14.63,11.25,3.38,7.15,11.44,1193.18,0.28,0.75,98.2,12.62
982.57,81.7,14.28,11.66,2.61,7.42,11.87,1193.91,0.44,1.38,187.8,12.25
982.3,87,13.64,11.87,1.77,7.55,12.08,1196.37,0.98,1.88,227,11.56
981.99,82.4,14.42,11.88,2.54,7.56,12.1,1192.47,1.31,2,211.4,12.4
982.06,84.4,15,12.66,2.34,8.06,12.89,1189.7,0.56,1,197.5,13
982.41,75.8,18.08,13.71,4.38,8.72,13.95,1177.75,0.52,1.13,73.2,15.89
984.02,84.6,16.77,14.19,2.58,9.02,14.42,1184.26,1.59,2.38,277.8,14.72
985.22,86.7,15.99,13.86,2.13,8.8,14.07,1188.92,1.01,1.88,201.8,13.98
984.65,72.9,18.97,13.83,5.14,8.78,14.04,1177.34,3.46,6.13,179.7,16.64
984.37,54.33,21.86,11.88,9.98,7.54,12.06,1168.81,2.93,5.5,229.8,18.89
983.99,50.1,22.41,11.23,11.18,7.13,11.41,1167.05,5.49,7.63,216.5,19.29
984.66,55.16,21.4,11.8,9.59,7.49,11.99,1170.55,3.48,4.63,216.7,18.55
985.55,65.85,17.84,11.75,6.09,7.45,11.92,1183.28,4.43,5.25,232.1,15.68
985.91,87,14.64,12.74,1.9,8.07,12.92,1195.9,2.83,3.75,226.4,12.63
985.29,85.8,14.91,12.79,2.12,8.12,12.98,1193.94,1.52,2.38,146,12.91
985.95,85.7,14.05,12.04,2.01,7.63,12.22,1198.86,3.15,3.88,230.8,12.01
986.35,93.5,13.07,12.22,0.85,7.74,12.39,1203.87,1.76,2.63,185.2,10.92
986.49,88.7,13.29,11.79,1.5,7.47,11.95,1203.18,2.58,3.63,174.2,11.17
986.88,75.3,16.07,12.1,3.97,7.66,12.26,1191.41,6.05,9,200.3,14.06
987.5,70.6,17.22,12.16,5.06,7.69,12.31,1187.71,5.95,8.5,211.2,15.13
988.09,63.63,18.78,11.95,6.83,7.56,12.09,1182.98,4.93,6.63,212,16.48
988.43,61.67,19.72,12.16,7.56,7.69,12.3,1180.15,3.93,6.5,216.1,17.25
988.26,62.88,19.78,12.44,7.34,7.87,12.58,1179.62,4.46,6.5,203.5,17.3
989.44,87.4,15.24,13.32,1.92,8.41,13.46,1197.37,2.75,4.5,254.1,13.24
988.74,76.1,18.48,14.06,4.42,8.89,14.22,1183.82,1.71,2.63,245.7,16.23
988.04,62.76,19.38,12.16,7.22,7.69,12.31,1180.78,1.32,1.63,254.2,16.98
987.81,76.2,17.31,13.19,4.12,8.35,13.35,1187.28,0.67,1.13,307.1,15.21
987.48,90.9,14.84,13.49,1.35,8.54,13.66,1196.58,0.47,1.5,237.2,12.84
986.28,90.5,14.53,13.15,1.38,8.34,13.34,1196.61,0.15,0.63,159.1,12.52
985.02,86.2,14.55,12.54,2.01,7.96,12.73,1195.27,0.67,1.5,189.5,12.54
983.19,83.9,14.23,11.94,2.29,7.59,12.14,1194.74,0.44,1.13,168.2,12.2
981.61,75.6,15.33,11.59,3.74,7.37,11.8,1188.27,2.68,3.38,198.1,13.33
980.52,74.4,17.47,13,4.47,8.29,13.25,1177.99,4.91,6.75,179.7,15.35
979.72,84.2,16.75,14.1,2.65,9,14.4,1179.18,5.33,8,177.6,14.7
979.94,79.4,17.51,13.9,3.61,8.87,14.19,1176.72,6.48,8.63,210,15.39
980.98,82.9,16.63,13.79,2.84,8.79,14.06,1181.3,4.5,7.13,237,14.59
982.56,61.5,18.57,11.42,7.15,7.26,11.63,1177.26,5.92,10.13,234.9,16.31
984.13,63.33,17.47,11.06,6.41,7.02,11.24,1183.24,5.66,11.25,236.7,15.35
986.17,81.6,14.74,12.02,2.71,7.62,12.19,1196.12,3.03,5.63,241.7,12.73
987.47,70.5,15.11,10.65,4.46,6.74,10.79,1196.75,2.54,4.88,250.9,13.11
988.41,76.9,13.82,10.63,3.19,6.72,10.75,1203.58,2.9,4.5,263.5,11.76
989.3,89.6,12.16,10.9,1.26,6.88,11.02,1212.71,2.17,3.25,255.6,9.84
989.48,90.1,12.04,10.85,1.19,6.85,10.96,1213.6,1.97,3.63,251.6,9.69
990.22,86.5,11.77,10.18,1.59,6.42,10.28,1216.29,2.37,3.88,262.8,9.35
990.69,88.7,10.91,9.68,1.23,6.1,9.77,1221.95,1.77,2.75,244.6,8.23
990.62,87.9,11.11,9.77,1.34,6.15,9.86,1220.65,0.97,2.25,237.9,8.5
990.74,85.7,11.59,9.94,1.66,6.26,10.03,1217.99,1.19,3.13,241,9.13
990.85,73.2,13.86,10.15,3.71,6.39,10.24,1206.62,1.9,4.5,252.5,11.8
991.03,64.88,14.68,9.52,5.15,6,9.61,1203.45,3.05,7.5,245,12.67
991.05,62.88,14.41,9.06,5.35,5.71,9.14,1204.87,4.13,7.25,257.1,12.39
990.76,55.46,15.96,8.85,7.11,5.57,8.93,1198.06,3.55,10.38,256.7,13.95
990.48,49.8,17.58,8.75,8.83,5.52,8.84,1191.54,4.26,10.38,246,15.45
990.53,54.37,16.19,8.8,7.39,5.54,8.88,1196.89,2.8,5.25,283.7,14.17
991.06,64.4,14.5,9.34,5.16,5.88,9.43,1204.33,2.37,5.25,266.7,12.49
992.5,65.14,12.99,8.46,4.53,5.32,8.52,1213.59,2.03,4.75,347.1,10.82
992.59,72.2,12.04,8.69,3.35,5.47,8.76,1218.44,1.75,3.13,239.9,9.69
992.94,75.5,11.38,8.6,2.79,5.4,8.66,1222.5,2.85,3.63,240.8,8.86
993,81.7,10.55,8.62,1.93,5.42,8.68,1227.44,0.94,1.63,211.3,7.74
993.27,88,9.72,8.55,1.17,5.37,8.61,1233.05,0.38,1.13,97.6,6.54
993.6,76.9,10.63,8.17,2.46,5.13,8.23,1227.91,0.8,2.25,237.6,7.85
993.68,85.8,9.19,7.89,1.31,4.95,7.94,1237.43,1.2,2.5,125.3,5.74
993.83,67.2,12.61,8.47,4.14,5.32,8.53,1217.1,2.04,5.25,223.1,10.38
994.14,59.56,13.71,8.17,5.55,5.13,8.22,1212.23,3.53,5.38,262.3,11.64
994.18,50.36,15.63,7.87,7.76,4.94,7.92,1204,3.3,5.75,279.4,13.63
994.13,45.54,17.72,8.07,9.65,5.06,8.12,1195.77,3.29,5.13,258.8,15.57
993.84,38.52,19.79,7.62,12.17,4.79,7.67,1188.46,3.49,6.13,275.2,17.31
993.41,34.28,22.01,7.54,14.46,4.74,7.59,1181.1,2.57,5.88,263.6,19
993.26,34.93,22.69,7.93,14.76,4.98,7.98,1178.77,2.84,5,257.1,19.49
992.87,35.42,23.12,8.19,14.93,5.15,8.25,1176.99,1.62,3.25,297.7,19.79
993.02,40.5,19.25,7.8,11.45,4.9,7.85,1189.2,0.78,1.88,260.5,16.87
993.52,53.1,15.98,8.48,7.49,5.33,8.54,1201.5,0.55,1.13,93.8,13.97
993.87,64.33,13.01,8.37,4.64,5.26,8.42,1215.18,0.59,1.25,183.6,10.85
994.13,65.96,11.98,7.9,4.08,4.96,7.95,1221.01,1.46,2.13,222.4,9.62
994.16,76.6,10.43,7.99,2.44,5.01,8.03,1229.92,1.75,2.25,223.8,7.57
994.48,84.4,9.48,8,1.48,5.02,8.04,1236.41,1.02,2,203.7,6.18
994.49,77.9,10.75,8.38,2.38,5.26,8.42,1228.17,0.97,2,192,8.02
994.44,72.5,12.62,9.15,3.47,5.74,9.2,1217.49,1.44,2.13,156.1,10.39
993.77,53.83,17.98,9.68,8.3,6.08,9.74,1193.64,1.71,3.25,136.1,15.8
992.52,44.99,22.51,10.13,12.38,6.37,10.2,1177.43,1.3,2.63,164.6,19.36
991.57,41.42,26.19,10.85,15.34,6.83,10.94,1166.16,2.14,3.63,232.3,21.82
990.73,40.82,28.34,11.57,16.77,7.3,11.68,1159.74,2.05,3.88,293.1,23.12
990.11,42.75,28.69,12.26,16.42,7.74,12.39,1157.92,1.23,2.5,15.38,23.32
989.95,51.1,25.73,13.15,12.58,8.3,13.28,1164.37,1.97,3.63,13.29,21.53
989.61,54.27,24.17,13.12,11.05,8.29,13.25,1168.02,0.57,0.88,318.6,20.51
989.75,58.84,22.63,13.32,9.32,8.41,13.46,1172.33,1.92,2.63,242.4,19.45
989.83,67.3,20.36,13.7,6.66,8.66,13.84,1179.06,0.04,0.38,242.6,17.76
990.31,79.2,18.28,14.48,3.8,9.14,14.62,1186.22,1.11,1.75,262,16.06
989.82,86.7,16.81,14.57,2.24,9.21,14.72,1190.98,1.2,1.88,301,14.75
989.73,90.9,15.5,14.09,1.41,8.9,14.23,1196.29,1.21,2.13,215.6,13.5
990.33,93.2,15.5,14.44,1.05,9.12,14.58,1196.85,1.08,1.63,214.3,13.5
990.46,88.5,17.36,15.36,2,9.7,15.51,1189.33,0.76,1.38,211.4,15.25
990.45,77.1,21.76,16.78,4.98,10.61,16.94,1174.13,1.18,2.38,121.7,18.82
989.73,70.2,23.57,16.54,7.02,10.46,16.71,1168.26,2.05,3.75,27.01,20.1
989.08,63.01,26.18,16.49,9.68,10.44,16.68,1160.74,2.89,4.25,31.9,21.81
988.36,65.79,24.82,16.33,8.49,10.34,16.52,1163.4,2.56,3.88,24.48,20.94
987.19,76.6,21.86,16.74,5.11,10.62,16.96,1169.98,1.13,2.5,211.2,18.89
987.2,94,19.15,18,1.15,11.42,18.23,1177.89,0.94,1.88,183.3,16.79
986.06,92.9,17.83,16.56,1.27,10.52,16.8,1181.74,4.6,7.5,21.35,15.67
985.44,93.8,16.49,15.47,1.02,9.82,15.7,1186.46,4.54,6.13,12.33,14.46
986.24,92.7,14.01,12.98,1.02,8.23,13.17,1198.99,2.39,5.38,338,11.96
986.74,95.3,12.7,12.11,0.6,7.67,12.27,1206.23,1.47,2.75,253.2,10.49
987.86,96.2,13.01,12.52,0.49,7.92,12.67,1205.88,2.13,3.25,239.8,10.85
989.08,95.8,12.9,12.36,0.54,7.81,12.5,1208.01,1.18,2.13,249.7,10.72
990.11,95.1,13.03,12.39,0.64,7.82,12.52,1208.62,0.67,1.38,199.9,10.87
990.91,94.8,13.26,12.57,0.69,7.93,12.68,1208.41,0.75,1.63,216.7,11.13
991.8,91.1,14.16,12.9,1.26,8.13,13.01,1205.11,0.74,1.13,216.6,12.13
992.3,82.4,16,13.18,2.82,8.3,13.28,1197.78,2.05,3.88,227.1,13.99
993.36,84.4,15.55,13.12,2.43,8.26,13.21,1200.93,2.58,5.5,284.5,13.55
994.39,72.3,15.9,11.5,4.41,7.22,11.56,1201.46,2.42,4.38,265.2,13.9
994.54,64.39,18.28,11.77,6.51,7.39,11.84,1192.55,1.71,3.63,254.3,16.06
994.48,62.16,18.91,11.75,7.15,7.38,11.82,1190.3,1.98,3.38,345.1,16.59
994.76,67.86,18.05,12.25,5.8,7.69,12.31,1193.42,1.51,3.63,233.4,15.86
996.06,81.6,14.31,11.68,2.63,7.33,11.73,1210.19,4.18,6.63,253.4,12.29
997.01,90,13.16,11.84,1.32,7.42,11.88,1216.69,1.71,2.38,243.4,11.02
997.57,88.4,12.75,11.27,1.48,7.06,11.3,1219.7,2.24,3.63,238,10.54
998.12,95.6,11.65,11.14,0.51,6.97,11.16,1226.24,0.78,1.75,120.3,9.2
998.7,98.2,10.77,10.57,0.19,6.61,10.59,1232.27,0.53,1,189.5,8.04
998.79,99.1,10.93,10.83,0.1,6.77,10.84,1231.3,0.27,0.75,134.5,8.26
998.95,99.4,10.99,10.92,0.07,6.83,10.94,1231.1,0.82,1.25,182,8.34
999.58,99,11.86,11.74,0.12,7.34,11.75,1226.58,0.72,1.13,199.7,9.47
999.36,81.4,14.74,11.99,2.74,7.5,12,1212.21,2.39,3.5,147.9,12.73
998.5,64.52,18.34,11.83,6.51,7.4,11.85,1197.09,2.46,3.75,187.7,16.11
997.47,59.15,19.32,11.43,7.89,7.16,11.46,1192.64,1.46,2.38,134.4,16.93
996.64,52.12,21.94,11.44,10.5,7.17,11.47,1183.4,2,3.13,180.5,18.95
995.63,49.33,23.06,11.38,11.68,7.14,11.43,1179,1.28,2.38,81.2,19.75
994.36,51.1,23.92,12.22,11.7,7.68,12.29,1174.74,2.72,4.75,33.26,20.34
993.15,55.77,22.68,12.65,10.03,7.96,12.73,1176.57,3.41,5,38.04,19.48
992.87,63.92,20.07,12.83,7.24,8.08,12.92,1184.04,0.65,1.63,73.7,17.53
992.87,73.9,17.59,13,4.59,8.18,13.09,1192.45,0.3,1.63,331.4,15.46
991.84,83.3,15.41,12.83,2.57,8.09,12.94,1199.8,0.85,1.25,212.1,13.41
991.2,89.8,13.83,12.42,1.41,7.83,12.53,1206.12,1.35,1.88,213.1,11.77
990.3,94.2,13.05,12.29,0.76,7.76,12.41,1208.81,1.55,2.38,146.7,10.89
990.04,91.9,13.33,12.25,1.08,7.73,12.37,1207.15,0.86,2.25,208.8,11.21
989.83,88.2,14.22,12.54,1.68,7.92,12.67,1202.61,1.68,2.5,169.9,12.19
989.95,66.26,21.99,14.57,7.42,9.21,14.72,1173.85,1.75,3.38,162.1,18.99
990.12,58.52,24.47,14.32,10.15,9.05,14.46,1167.29,3.03,5.5,249.9,20.71
990.19,54.14,26.22,14.2,12.03,8.97,14.34,1162.96,3.02,6.13,222.5,21.84
990.8,68.08,22.8,15.52,7.28,9.8,15.67,1172.11,0.78,1.88,265.6,19.57
990.36,64.47,24.76,15.96,8.8,10.09,16.12,1166.09,2.44,4.13,242.7,20.9
990.06,66.88,23.05,15.41,7.63,9.74,15.57,1170.6,2.98,5.63,202.3,19.74
989,58.37,25.48,14.87,10.61,9.41,15.04,1163.11,2.72,4.63,233.8,21.37
988.67,63.23,23.81,15.06,8.76,9.53,15.23,1166.99,1.21,1.75,251.6,20.27
988.79,72.2,21.29,15.37,5.92,9.73,15.55,1174.2,2.66,3.38,248.9,18.47
988.39,73.9,20.27,14.98,5.29,9.48,15.16,1177.04,2.68,3.25,245.1,17.69
988.43,85.9,17.7,15.21,2.5,9.63,15.39,1185.67,0.55,1.13,136.4,15.56
988.01,90.6,16.38,14.84,1.54,9.39,15.02,1190.32,0.82,1.88,116.8,14.35
987.61,88,16.24,14.29,1.95,9.05,14.47,1190.63,0.78,1.5,207.9,14.22
988.01,88.1,16.84,14.83,2,9.39,15.01,1188.55,0.33,1,191.9,14.78
988.5,82.3,18.26,15.03,3.23,9.51,15.2,1183.87,0.97,2.63,274.8,16.04
989.16,66.82,20.04,13.39,6.65,8.47,13.54,1179.41,2.98,5.88,11.01,17.51
989.47,67.45,19.3,13.02,6.28,8.22,13.15,1182.4,0.85,2.88,14.13,16.91
989.77,64.42,18.99,12.23,6.76,7.72,12.36,1184.13,1.28,3.13,334.3,16.66
989.24,55.83,20.85,11.64,9.21,7.35,11.77,1177.75,1.84,3.75,271.8,18.14
989.3,42.45,22.2,9.42,12.78,5.95,9.53,1174.79,3.42,5.5,238.5,19.14
989.31,50.32,21.56,10.85,10.71,6.85,10.97,1176.05,1.68,3.13,269,18.67
990.12,55.24,19.53,10.79,8.74,6.81,10.9,1183.41,1.74,3.13,265.9,17.1
991.7,68.82,15.75,10.84,4.91,6.83,10.93,1199.13,0.76,1.5,266.1,13.75
992.94,77.5,14.35,11.12,3.23,7,11.2,1206.47,2.45,3.13,244.8,12.33
993.28,70.1,14.58,10.22,4.36,6.43,10.29,1206.29,2.77,3.75,257.3,12.57
993.51,66.35,13.69,9.08,4.61,5.7,9.14,1211.17,2.75,3.75,250.8,11.61
993.6,69.3,12.54,8.69,3.85,5.46,8.75,1217.05,2.6,3.38,246.1,10.3
993.69,70.2,12.35,8.67,3.68,5.45,8.73,1218.17,3.02,3.75,248.7,10.07
994.01,72.8,13.68,9.96,3.72,6.25,10.02,1211.41,2.51,3.25,145.4,11.6
993.78,61.09,16.03,9.79,6.24,6.15,9.85,1201,1.42,4.5,202.6,14.02
993.5,53.37,17.17,9.16,8,5.76,9.22,1196.53,1.45,4.13,204.9,15.08
993,53.71,18.51,9.94,8.57,6.25,10.01,1190.7,3.1,5.13,240.5,16.26
993.25,57.31,16.07,9.21,6.86,5.79,9.27,1200.47,1.81,3.75,256.4,14.06
992.29,44.09,20.52,9.05,11.47,5.69,9.12,1183.63,1.86,4,243.8,17.88
992.4,58.38,16.38,9.56,6.82,6.01,9.63,1198.06,3.17,4.88,254,14.35
992.6,59.44,16.9,10.05,6.86,6.32,10.12,1196.04,0.89,1.75,262.7,14.84
992.87,68.37,15.55,10.63,4.92,6.69,10.71,1201.48,1.77,2.75,250.1,13.55
993.53,73.5,14.36,10.56,3.81,6.64,10.62,1207.41,1.36,2.25,294.2,12.34
993.78,77.1,13.78,10.62,3.16,6.68,10.69,1210.35,0.45,1.25,45.64,11.71
993.33,80.8,12.44,10.05,2.39,6.32,10.12,1216.6,0.85,1.75,213.9,10.18
993.41,88.7,11.38,10.1,1.29,6.35,10.17,1222.38,1.44,2,233.9,8.86
993.44,92.1,10.96,10.09,0.87,6.34,10.16,1224.85,0.87,1.75,161.3,8.3
993.64,90.1,11.72,10.56,1.16,6.64,10.63,1220.58,0.46,1.25,234.5,9.29
994.02,88.1,12.16,10.72,1.45,6.73,10.78,1218.6,1.43,1.88,144,9.84
993.9,81.1,13.5,10.95,2.55,6.88,11.01,1211.67,0.13,0.63,201.3,11.4
993.65,76.5,14.41,11.02,3.39,6.93,11.09,1207.14,0.95,1.75,234.8,12.39
993.02,76.1,14.86,11.31,3.55,7.11,11.39,1204.25,1.17,2.75,22.57,12.86
992.22,59.12,17.53,10.37,7.17,6.52,10.45,1193.07,1.69,3.25,305.9,15.41
991.93,58.88,17.91,10.55,7.36,6.64,10.63,1191.28,2.99,5.25,17.06,15.74
992.06,56.49,17.07,9.64,7.43,6.07,9.72,1194.95,1.64,3.25,18.79,14.99
992.34,67.67,15.41,10.42,4.98,6.56,10.51,1201.52,0.6,1.5,277.1,13.41
993.02,73.5,14.03,10.32,3.72,6.49,10.39,1208.38,1.31,1.88,18.92,11.99
993.33,81.4,12.98,10.56,2.41,6.64,10.64,1213.67,0.86,1.38,12.45,10.81
993.41,86.6,12.43,10.76,1.67,6.77,10.83,1216.46,1.18,2.38,15.45,10.16
993.1,89.2,11.94,10.65,1.29,6.7,10.72,1218.71,0.98,2.63,3.92,9.56
993.18,93.5,11.62,10.86,0.76,6.83,10.94,1220.44,1.21,2.13,238.5,9.16
993.88,92.7,12.04,11.16,0.88,7.01,11.23,1218.88,1.03,2.63,9.53,9.69
994.55,89.8,12.38,11.11,1.26,6.98,11.18,1217.95,2.12,4,6.34,10.1
995.32,86.5,12.86,11.12,1.74,6.98,11.17,1216.46,2.82,5.25,15.08,10.67
996.12,93.2,12.43,11.58,0.84,7.26,11.63,1219.41,2.73,4.63,26.66,10.16
996.36,85.6,14.54,12.45,2.09,7.81,12.49,1209.18,1.62,3.63,60.07,12.53
996.57,87,13.8,12,1.79,7.53,12.04,1213.05,2.23,3.75,64.69,11.73
995.86,88.2,15.87,14,1.87,8.79,14.06,1202.22,0.5,1.13,75.8,13.87
995.5,71.4,18.02,12.87,5.16,8.08,12.93,1194.11,0.84,2,285.3,15.84
996.26,70.8,16.86,11.94,4.92,7.49,11.98,1199.77,3.49,4.88,38.88,14.8
996.49,86.6,14.47,12.53,1.94,7.86,12.57,1209.65,0.89,2.63,31.65,12.45
996.72,85.3,14.67,12.51,2.16,7.84,12.55,1209.05,1.22,3.63,170,12.66
996.83,88.6,13.67,12.11,1.56,7.59,12.15,1213.91,0.55,1.13,222.3,11.59
996.51,86.2,13.83,11.92,1.91,7.48,11.97,1212.84,1.68,3.75,17.05,11.77
996.39,86.8,13.08,11.36,1.73,7.12,11.4,1216.54,2.12,4.25,5.72,10.93
996.37,88,12.23,10.76,1.47,6.75,10.8,1221.13,2.13,4.88,344.3,9.92
996.39,81.8,13.19,10.79,2.4,6.76,10.83,1216.29,2.31,4.63,9.31,11.05
996.48,75.6,13.98,10.57,3.41,6.62,10.61,1212.75,2.92,5.13,15.82,11.93
996.44,70.6,14.57,10.29,4.28,6.45,10.32,1210.15,2.98,5.38,15.01,12.56
995.88,66.68,16.35,10.91,5.45,6.84,10.95,1201.75,5.48,8.88,17.46,14.33
995.25,65.49,17.66,11.56,6.09,7.26,11.62,1195.73,2.26,6.25,13.58,15.52
995.07,63.82,18.55,11.84,6.71,7.43,11.9,1192.2,1.15,2.63,3.64,16.29
994.38,60.97,19.78,12.06,7.72,7.58,12.13,1187.14,4.86,9.13,10.53,17.3
993.68,59.59,20.22,12.05,8.17,7.58,12.13,1184.87,3.2,6.75,11.03,17.65
993.74,55.96,19.08,10.68,8.4,6.71,10.74,1189.32,1.41,3.63,312.2,16.73
994.73,49.49,17.57,8.69,8.87,5.45,8.74,1196.74,3.36,4.63,11.16,15.44
994.76,59.3,15.94,9.45,6.49,5.93,9.5,1202.72,3.05,4.88,9.72,13.93
994.09,64.02,14.81,9.48,5.33,5.95,9.54,1206.61,2.56,4.13,8.23,12.81
993.52,71.1,13.83,9.83,4,6.18,9.9,1210.15,2.69,4.38,18.86,11.77
993,75.6,13.53,10.23,3.3,6.43,10.3,1210.73,2.28,4.63,15.06,11.44
992.27,72.3,14.12,10.21,3.91,6.42,10.29,1207.14,3.05,5.5,12.54,12.08
992.29,74.8,14.33,10.72,3.61,6.75,10.81,1205.95,3.52,5.25,14.97,12.31
991.58,71.7,16.68,11.96,4.72,7.53,12.06,1194.8,3.88,6.38,10.76,14.63
991.4,69.55,19.28,13.41,5.87,8.46,13.53,1184.58,4.2,7.25,16.27,16.9
991.14,69.6,19.38,13.49,5.89,8.51,13.61,1183.9,5,8.13,19.44,16.98
990.68,69.92,20.35,14.23,6.12,8.98,14.36,1179.88,2.04,3.5,9.35,17.75
989.5,63.18,23.92,15.11,8.81,9.55,15.27,1167.67,4.43,6.5,16.89,20.34
989,63.4,24.64,15.62,9.02,9.88,15.79,1164.95,1.09,3.38,345.9,20.82
988.73,63.96,24.24,15.51,8.74,9.81,15.68,1165.71,3.47,5.5,19.51,20.56
988.91,65.89,22.85,15.05,7.79,9.52,15.22,1169.95,2.85,4.13,29.31,19.6
989.19,73.4,20.85,15.31,5.55,9.68,15.47,1176.03,4.15,6,16.7,18.14
988.99,79.8,19.11,15.25,3.86,9.65,15.42,1181.42,3.57,5.5,12.58,16.76
988.34,81.9,17.86,14.63,3.23,9.26,14.8,1185.25,3.13,5.13,10.29,15.7
987.99,84.5,16.65,14.07,2.58,8.91,14.24,1189.57,2.75,4.75,19.27,14.61
987.96,86.6,15.7,13.6,2.1,8.6,13.76,1193.53,2.76,4,9,13.7
987.39,87.6,15.57,13.64,1.93,8.64,13.81,1193.36,1.48,3.38,18.86,13.57
987.2,88.7,15.62,13.85,1.76,8.77,14.03,1192.82,1.26,3,300.6,13.62
986.91,89.1,16.19,14.42,1.76,9.14,14.61,1189.92,1.68,2.88,17.78,14.17
986.78,95.3,15.82,15.08,0.74,9.56,15.28,1190.92,3.26,5.13,39.36,13.82
986.53,89.8,16.24,14.58,1.66,9.25,14.78,1189.18,2.42,3.63,30.83,14.22
986.29,87.6,16.88,14.79,2.09,9.38,14.99,1186.32,2.38,3.75,29.71,14.82
985.68,88.1,17,14.98,2.02,9.51,15.2,1185.04,2.71,4.13,23.26,14.93
985.84,88.5,17.13,15.16,1.97,9.62,15.38,1184.66,2.22,3.38,46.02,15.05
986.17,93.2,16.49,15.37,1.12,9.75,15.59,1187.39,1.41,1.88,15.9,14.46
986.31,96.3,16.3,15.7,0.6,9.96,15.92,1188.16,1.16,1.5,3.64,14.28
986.29,95.7,16.44,15.73,0.71,9.98,15.95,1187.58,1.53,2.63,35.74,14.41
986.04,98.3,16.32,16.05,0.28,10.18,16.27,1187.59,1.29,1.88,5.2,14.3
986,98.9,16.54,16.35,0.18,10.38,16.59,1186.57,0.51,1.38,38.41,14.5
985.81,97.9,16.75,16.4,0.35,10.41,16.64,1185.5,1.01,2,351.6,14.7
986.05,98.3,16.83,16.54,0.29,10.5,16.77,1185.44,0.75,1.88,356.1,14.77
986.02,98.4,17.28,17,0.28,10.79,17.24,1183.5,0.49,1,355,15.18
986.04,91.8,19.54,17.94,1.6,11.4,18.19,1175.23,0.98,2,33.89,17.11
986.43,94.2,19.09,17.98,1.11,11.42,18.23,1177.18,2.83,4.25,18.51,16.74
986.35,89.8,20.66,18.55,2.11,11.78,18.81,1171.77,1.85,2.75,31.98,17.99
985.6,76.2,22.97,17.51,5.47,11.12,17.76,1164.55,4.74,7.25,32.18,19.69
984.97,69.24,25.26,17.49,7.77,11.12,17.76,1157.72,1.8,3.25,72.2,21.23
984.72,73.7,24.7,18.2,6.5,11.58,18.48,1158.56,2.18,4.5,63.13,20.86
985.34,75.1,23.67,17.77,5.89,11.3,18.04,1162.21,2.19,3.63,42.95,20.17
986.15,83.8,21.45,17.98,3.48,11.42,18.23,1169.38,3.72,4.88,30.13,18.59
986.53,89.1,20.12,17.93,2.19,11.38,18.17,1173.97,3.01,4.25,29.55,17.57
986.84,90.7,19.8,17.96,1.84,11.4,18.2,1175.33,3.51,4.88,30.34,17.32
986.62,96.3,18.76,18.07,0.69,11.47,18.32,1178.47,3.3,4.25,26.42,16.47
